Service Type,Year,Value
July 4th Special,"October 2, 2015",
July 4th Special Sked,"October 2, 2015",
Saturday,"October 2, 2015",
Saturday Holiday,"October 2, 2015",
Special(Saturday),"October 2, 2015",
Sunday,"October 2, 2015",
Sunday Holiday,"October 2, 2015",
Weekday,"October 2, 2015",628559.0
July 4th Special,"October 5, 2015",
July 4th Special Sked,"October 5, 2015",
Saturday,"October 5, 2015",
Saturday Holiday,"October 5, 2015",
Special(Saturday),"October 5, 2015",
Sunday,"October 5, 2015",
Sunday Holiday,"October 5, 2015",
Weekday,"October 5, 2015",647100.0
July 4th Special,"October 6, 2015",
July 4th Special Sked,"October 6, 2015",
Saturday,"October 6, 2015",
Saturday Holiday,"October 6, 2015",
Special(Saturday),"October 6, 2015",
Sunday,"October 6, 2015",
Sunday Holiday,"October 6, 2015",
Weekday,"October 6, 2015",686606.0
July 4th Special,"October 7, 2015",
July 4th Special Sked,"October 7, 2015",
Saturday,"October 7, 2015",
Saturday Holiday,"October 7, 2015",
Special(Saturday),"October 7, 2015",
Sunday,"October 7, 2015",
Sunday Holiday,"October 7, 2015",
Weekday,"October 7, 2015",688404.0
July 4th Special,"October 8, 2015",
July 4th Special Sked,"October 8, 2015",
Saturday,"October 8, 2015",
Saturday Holiday,"October 8, 2015",
Special(Saturday),"October 8, 2015",
Sunday,"October 8, 2015",
Sunday Holiday,"October 8, 2015",
Weekday,"October 8, 2015",697066.0
July 4th Special,"October 9, 2015",
July 4th Special Sked,"October 9, 2015",
Saturday,"October 9, 2015",
Saturday Holiday,"October 9, 2015",
Special(Saturday),"October 9, 2015",
Sunday,"October 9, 2015",
Sunday Holiday,"October 9, 2015",
Weekday,"October 9, 2015",658006.0
July 4th Special,"October 12, 2015",
July 4th Special Sked,"October 12, 2015",
Saturday,"October 12, 2015",
Saturday Holiday,"October 12, 2015",363514.0
Special(Saturday),"October 12, 2015",
Sunday,"October 12, 2015",
Sunday Holiday,"October 12, 2015",
Weekday,"October 12, 2015",
July 4th Special,"October 13, 2015",
July 4th Special Sked,"October 13, 2015",
Saturday,"October 13, 2015",
Saturday Holiday,"October 13, 2015",
Special(Saturday),"October 13, 2015",
Sunday,"October 13, 2015",
Sunday Holiday,"October 13, 2015",
Weekday,"October 13, 2015",691936.0
July 4th Special,"October 14, 2015",
July 4th Special Sked,"October 14, 2015",
Saturday,"October 14, 2015",
Saturday Holiday,"October 14, 2015",
Special(Saturday),"October 14, 2015",
Sunday,"October 14, 2015",
Sunday Holiday,"October 14, 2015",
Weekday,"October 14, 2015",700835.0
July 4th Special,"October 15, 2015",
July 4th Special Sked,"October 15, 2015",
Saturday,"October 15, 2015",
Saturday Holiday,"October 15, 2015",
Special(Saturday),"October 15, 2015",
Sunday,"October 15, 2015",
Sunday Holiday,"October 15, 2015",
Weekday,"October 15, 2015",711991.0
July 4th Special,"October 16, 2015",
July 4th Special Sked,"October 16, 2015",
Saturday,"October 16, 2015",
Saturday Holiday,"October 16, 2015",
Special(Saturday),"October 16, 2015",
Sunday,"October 16, 2015",
Sunday Holiday,"October 16, 2015",
Weekday,"October 16, 2015",670487.0
July 4th Special,"October 19, 2015",
July 4th Special Sked,"October 19, 2015",
Saturday,"October 19, 2015",
Saturday Holiday,"October 19, 2015",
Special(Saturday),"October 19, 2015",
Sunday,"October 19, 2015",
Sunday Holiday,"October 19, 2015",
Weekday,"October 19, 2015",636973.0
July 4th Special,"October 20, 2015",
July 4th Special Sked,"October 20, 2015",
Saturday,"October 20, 2015",
Saturday Holiday,"October 20, 2015",
Special(Saturday),"October 20, 2015",
Sunday,"October 20, 2015",
Sunday Holiday,"October 20, 2015",
Weekday,"October 20, 2015",682538.0
July 4th Special,"October 21, 2015",
July 4th Special Sked,"October 21, 2015",
Saturday,"October 21, 2015",
Saturday Holiday,"October 21, 2015",
Special(Saturday),"October 21, 2015",
Sunday,"October 21, 2015",
Sunday Holiday,"October 21, 2015",
Weekday,"October 21, 2015",688503.0
July 4th Special,"October 22, 2015",
July 4th Special Sked,"October 22, 2015",
Saturday,"October 22, 2015",
Saturday Holiday,"October 22, 2015",
Special(Saturday),"October 22, 2015",
Sunday,"October 22, 2015",
Sunday Holiday,"October 22, 2015",
Weekday,"October 22, 2015",696495.0
July 4th Special,"October 23, 2015",
July 4th Special Sked,"October 23, 2015",
Saturday,"October 23, 2015",
Saturday Holiday,"October 23, 2015",
Special(Saturday),"October 23, 2015",
Sunday,"October 23, 2015",
Sunday Holiday,"October 23, 2015",
Weekday,"October 23, 2015",691629.0
July 4th Special,"October 26, 2015",
July 4th Special Sked,"October 26, 2015",
Saturday,"October 26, 2015",
Saturday Holiday,"October 26, 2015",
Special(Saturday),"October 26, 2015",
Sunday,"October 26, 2015",
Sunday Holiday,"October 26, 2015",
Weekday,"October 26, 2015",652588.0
July 4th Special,"October 27, 2015",
July 4th Special Sked,"October 27, 2015",
Saturday,"October 27, 2015",
Saturday Holiday,"October 27, 2015",
Special(Saturday),"October 27, 2015",
Sunday,"October 27, 2015",
Sunday Holiday,"October 27, 2015",
Weekday,"October 27, 2015",685338.0
July 4th Special,"October 28, 2015",
July 4th Special Sked,"October 28, 2015",
Saturday,"October 28, 2015",
Saturday Holiday,"October 28, 2015",
Special(Saturday),"October 28, 2015",
Sunday,"October 28, 2015",
Sunday Holiday,"October 28, 2015",
Weekday,"October 28, 2015",681101.0
July 4th Special,"October 29, 2015",
July 4th Special Sked,"October 29, 2015",
Saturday,"October 29, 2015",
Saturday Holiday,"October 29, 2015",
Special(Saturday),"October 29, 2015",
Sunday,"October 29, 2015",
Sunday Holiday,"October 29, 2015",
Weekday,"October 29, 2015",686278.0
July 4th Special,"October 30, 2015",
July 4th Special Sked,"October 30, 2015",
Saturday,"October 30, 2015",
Saturday Holiday,"October 30, 2015",
Special(Saturday),"October 30, 2015",
Sunday,"October 30, 2015",
Sunday Holiday,"October 30, 2015",
Weekday,"October 30, 2015",659347.0
July 4th Special,"November 2, 2015",
July 4th Special Sked,"November 2, 2015",
Saturday,"November 2, 2015",
Saturday Holiday,"November 2, 2015",
Special(Saturday),"November 2, 2015",
Sunday,"November 2, 2015",
Sunday Holiday,"November 2, 2015",
Weekday,"November 2, 2015",639017.0
July 4th Special,"November 3, 2015",
July 4th Special Sked,"November 3, 2015",
Saturday,"November 3, 2015",
Saturday Holiday,"November 3, 2015",
Special(Saturday),"November 3, 2015",
Sunday,"November 3, 2015",
Sunday Holiday,"November 3, 2015",
Weekday,"November 3, 2015",676425.0
July 4th Special,"November 4, 2015",
July 4th Special Sked,"November 4, 2015",
Saturday,"November 4, 2015",
Saturday Holiday,"November 4, 2015",
Special(Saturday),"November 4, 2015",
Sunday,"November 4, 2015",
Sunday Holiday,"November 4, 2015",
Weekday,"November 4, 2015",703689.0
July 4th Special,"November 5, 2015",
July 4th Special Sked,"November 5, 2015",
Saturday,"November 5, 2015",
Saturday Holiday,"November 5, 2015",
Special(Saturday),"November 5, 2015",
Sunday,"November 5, 2015",
Sunday Holiday,"November 5, 2015",
Weekday,"November 5, 2015",711617.0
July 4th Special,"November 6, 2015",
July 4th Special Sked,"November 6, 2015",
Saturday,"November 6, 2015",
Saturday Holiday,"November 6, 2015",
Special(Saturday),"November 6, 2015",
Sunday,"November 6, 2015",
Sunday Holiday,"November 6, 2015",
Weekday,"November 6, 2015",683344.0
July 4th Special,"November 9, 2015",
July 4th Special Sked,"November 9, 2015",
Saturday,"November 9, 2015",
Saturday Holiday,"November 9, 2015",
Special(Saturday),"November 9, 2015",
Sunday,"November 9, 2015",
Sunday Holiday,"November 9, 2015",
Weekday,"November 9, 2015",643069.0
July 4th Special,"November 10, 2015",
July 4th Special Sked,"November 10, 2015",
Saturday,"November 10, 2015",
Saturday Holiday,"November 10, 2015",
Special(Saturday),"November 10, 2015",
Sunday,"November 10, 2015",
Sunday Holiday,"November 10, 2015",
Weekday,"November 10, 2015",682450.0
July 4th Special,"November 11, 2015",
July 4th Special Sked,"November 11, 2015",
Saturday,"November 11, 2015",
Saturday Holiday,"November 11, 2015",403887.0
Special(Saturday),"November 11, 2015",
Sunday,"November 11, 2015",
Sunday Holiday,"November 11, 2015",
Weekday,"November 11, 2015",
July 4th Special,"November 12, 2015",
July 4th Special Sked,"November 12, 2015",
Saturday,"November 12, 2015",
Saturday Holiday,"November 12, 2015",
Special(Saturday),"November 12, 2015",
Sunday,"November 12, 2015",
Sunday Holiday,"November 12, 2015",
Weekday,"November 12, 2015",671244.0
July 4th Special,"November 13, 2015",
July 4th Special Sked,"November 13, 2015",
Saturday,"November 13, 2015",
Saturday Holiday,"November 13, 2015",
Special(Saturday),"November 13, 2015",
Sunday,"November 13, 2015",
Sunday Holiday,"November 13, 2015",
Weekday,"November 13, 2015",660646.0
July 4th Special,"November 16, 2015",
July 4th Special Sked,"November 16, 2015",
Saturday,"November 16, 2015",
Saturday Holiday,"November 16, 2015",
Special(Saturday),"November 16, 2015",
Sunday,"November 16, 2015",
Sunday Holiday,"November 16, 2015",
Weekday,"November 16, 2015",651493.0
July 4th Special,"November 17, 2015",
July 4th Special Sked,"November 17, 2015",
Saturday,"November 17, 2015",
Saturday Holiday,"November 17, 2015",
Special(Saturday),"November 17, 2015",
Sunday,"November 17, 2015",
Sunday Holiday,"November 17, 2015",
Weekday,"November 17, 2015",688513.0
July 4th Special,"November 18, 2015",
July 4th Special Sked,"November 18, 2015",
Saturday,"November 18, 2015",
Saturday Holiday,"November 18, 2015",
Special(Saturday),"November 18, 2015",
Sunday,"November 18, 2015",
Sunday Holiday,"November 18, 2015",
Weekday,"November 18, 2015",686113.0
July 4th Special,"November 19, 2015",
July 4th Special Sked,"November 19, 2015",
Saturday,"November 19, 2015",
Saturday Holiday,"November 19, 2015",
Special(Saturday),"November 19, 2015",
Sunday,"November 19, 2015",
Sunday Holiday,"November 19, 2015",
Weekday,"November 19, 2015",686119.0
July 4th Special,"November 20, 2015",
July 4th Special Sked,"November 20, 2015",
Saturday,"November 20, 2015",
Saturday Holiday,"November 20, 2015",
Special(Saturday),"November 20, 2015",
Sunday,"November 20, 2015",
Sunday Holiday,"November 20, 2015",
Weekday,"November 20, 2015",645794.0
July 4th Special,"November 23, 2015",
July 4th Special Sked,"November 23, 2015",
Saturday,"November 23, 2015",
Saturday Holiday,"November 23, 2015",
Special(Saturday),"November 23, 2015",
Sunday,"November 23, 2015",
Sunday Holiday,"November 23, 2015",
Weekday,"November 23, 2015",626385.0
July 4th Special,"November 24, 2015",
July 4th Special Sked,"November 24, 2015",
Saturday,"November 24, 2015",
Saturday Holiday,"November 24, 2015",
Special(Saturday),"November 24, 2015",
Sunday,"November 24, 2015",
Sunday Holiday,"November 24, 2015",
Weekday,"November 24, 2015",631064.0
July 4th Special,"November 25, 2015",
July 4th Special Sked,"November 25, 2015",
Saturday,"November 25, 2015",
Saturday Holiday,"November 25, 2015",
Special(Saturday),"November 25, 2015",
Sunday,"November 25, 2015",
Sunday Holiday,"November 25, 2015",
Weekday,"November 25, 2015",513609.0
July 4th Special,"November 26, 2015",
July 4th Special Sked,"November 26, 2015",
Saturday,"November 26, 2015",
Saturday Holiday,"November 26, 2015",
Special(Saturday),"November 26, 2015",
Sunday,"November 26, 2015",102122.0
Sunday Holiday,"November 26, 2015",
Weekday,"November 26, 2015",
July 4th Special,"November 27, 2015",
July 4th Special Sked,"November 27, 2015",
Saturday,"November 27, 2015",
Saturday Holiday,"November 27, 2015",
Special(Saturday),"November 27, 2015",
Sunday,"November 27, 2015",
Sunday Holiday,"November 27, 2015",
Weekday,"November 27, 2015",301223.0
July 4th Special,"November 30, 2015",
July 4th Special Sked,"November 30, 2015",
Saturday,"November 30, 2015",
Saturday Holiday,"November 30, 2015",
Special(Saturday),"November 30, 2015",
Sunday,"November 30, 2015",
Sunday Holiday,"November 30, 2015",
Weekday,"November 30, 2015",600843.0
July 4th Special,"December 1, 2015",
July 4th Special Sked,"December 1, 2015",
Saturday,"December 1, 2015",
Saturday Holiday,"December 1, 2015",
Special(Saturday),"December 1, 2015",
Sunday,"December 1, 2015",
Sunday Holiday,"December 1, 2015",
Weekday,"December 1, 2015",652921.0
July 4th Special,"December 2, 2015",
July 4th Special Sked,"December 2, 2015",
Saturday,"December 2, 2015",
Saturday Holiday,"December 2, 2015",
Special(Saturday),"December 2, 2015",
Sunday,"December 2, 2015",
Sunday Holiday,"December 2, 2015",
Weekday,"December 2, 2015",662524.0
July 4th Special,"December 3, 2015",
July 4th Special Sked,"December 3, 2015",
Saturday,"December 3, 2015",
Saturday Holiday,"December 3, 2015",
Special(Saturday),"December 3, 2015",
Sunday,"December 3, 2015",
Sunday Holiday,"December 3, 2015",
Weekday,"December 3, 2015",711098.0
July 4th Special,"December 4, 2015",
July 4th Special Sked,"December 4, 2015",
Saturday,"December 4, 2015",
Saturday Holiday,"December 4, 2015",
Special(Saturday),"December 4, 2015",
Sunday,"December 4, 2015",
Sunday Holiday,"December 4, 2015",
Weekday,"December 4, 2015",648315.0
July 4th Special,"December 7, 2015",
July 4th Special Sked,"December 7, 2015",
Saturday,"December 7, 2015",
Saturday Holiday,"December 7, 2015",
Special(Saturday),"December 7, 2015",
Sunday,"December 7, 2015",
Sunday Holiday,"December 7, 2015",
Weekday,"December 7, 2015",640538.0
July 4th Special,"December 8, 2015",
July 4th Special Sked,"December 8, 2015",
Saturday,"December 8, 2015",
Saturday Holiday,"December 8, 2015",
Special(Saturday),"December 8, 2015",
Sunday,"December 8, 2015",
Sunday Holiday,"December 8, 2015",
Weekday,"December 8, 2015",686793.0
July 4th Special,"December 9, 2015",
July 4th Special Sked,"December 9, 2015",
Saturday,"December 9, 2015",
Saturday Holiday,"December 9, 2015",
Special(Saturday),"December 9, 2015",
Sunday,"December 9, 2015",
Sunday Holiday,"December 9, 2015",
Weekday,"December 9, 2015",685852.0
July 4th Special,"December 10, 2015",
July 4th Special Sked,"December 10, 2015",
Saturday,"December 10, 2015",
Saturday Holiday,"December 10, 2015",
Special(Saturday),"December 10, 2015",
Sunday,"December 10, 2015",
Sunday Holiday,"December 10, 2015",
Weekday,"December 10, 2015",692761.0
July 4th Special,"December 11, 2015",
July 4th Special Sked,"December 11, 2015",
Saturday,"December 11, 2015",
Saturday Holiday,"December 11, 2015",
Special(Saturday),"December 11, 2015",
Sunday,"December 11, 2015",
Sunday Holiday,"December 11, 2015",
Weekday,"December 11, 2015",644253.0
July 4th Special,"December 14, 2015",
July 4th Special Sked,"December 14, 2015",
Saturday,"December 14, 2015",
Saturday Holiday,"December 14, 2015",
Special(Saturday),"December 14, 2015",
Sunday,"December 14, 2015",
Sunday Holiday,"December 14, 2015",
Weekday,"December 14, 2015",631608.0
July 4th Special,"December 15, 2015",
July 4th Special Sked,"December 15, 2015",
Saturday,"December 15, 2015",
Saturday Holiday,"December 15, 2015",
Special(Saturday),"December 15, 2015",
Sunday,"December 15, 2015",
Sunday Holiday,"December 15, 2015",
Weekday,"December 15, 2015",672800.0
July 4th Special,"December 16, 2015",
July 4th Special Sked,"December 16, 2015",
Saturday,"December 16, 2015",
Saturday Holiday,"December 16, 2015",
Special(Saturday),"December 16, 2015",
Sunday,"December 16, 2015",
Sunday Holiday,"December 16, 2015",
Weekday,"December 16, 2015",681004.0
July 4th Special,"December 17, 2015",
July 4th Special Sked,"December 17, 2015",
Saturday,"December 17, 2015",
Saturday Holiday,"December 17, 2015",
Special(Saturday),"December 17, 2015",
Sunday,"December 17, 2015",
Sunday Holiday,"December 17, 2015",
Weekday,"December 17, 2015",653628.0
July 4th Special,"December 18, 2015",
July 4th Special Sked,"December 18, 2015",
Saturday,"December 18, 2015",
Saturday Holiday,"December 18, 2015",
Special(Saturday),"December 18, 2015",
Sunday,"December 18, 2015",
Sunday Holiday,"December 18, 2015",
Weekday,"December 18, 2015",629200.0
July 4th Special,"December 21, 2015",
July 4th Special Sked,"December 21, 2015",
Saturday,"December 21, 2015",
Saturday Holiday,"December 21, 2015",
Special(Saturday),"December 21, 2015",
Sunday,"December 21, 2015",
Sunday Holiday,"December 21, 2015",
Weekday,"December 21, 2015",547658.0
July 4th Special,"December 22, 2015",
July 4th Special Sked,"December 22, 2015",
Saturday,"December 22, 2015",
Saturday Holiday,"December 22, 2015",
Special(Saturday),"December 22, 2015",
Sunday,"December 22, 2015",
Sunday Holiday,"December 22, 2015",
Weekday,"December 22, 2015",540726.0
July 4th Special,"December 23, 2015",
July 4th Special Sked,"December 23, 2015",
Saturday,"December 23, 2015",
Saturday Holiday,"December 23, 2015",
Special(Saturday),"December 23, 2015",
Sunday,"December 23, 2015",
Sunday Holiday,"December 23, 2015",
Weekday,"December 23, 2015",456461.0
July 4th Special,"December 24, 2015",
July 4th Special Sked,"December 24, 2015",
Saturday,"December 24, 2015",
Saturday Holiday,"December 24, 2015",
Special(Saturday),"December 24, 2015",
Sunday,"December 24, 2015",
Sunday Holiday,"December 24, 2015",
Weekday,"December 24, 2015",272099.0
July 4th Special,"December 25, 2015",
July 4th Special Sked,"December 25, 2015",
Saturday,"December 25, 2015",
Saturday Holiday,"December 25, 2015",
Special(Saturday),"December 25, 2015",
Sunday,"December 25, 2015",64045.0
Sunday Holiday,"December 25, 2015",
Weekday,"December 25, 2015",
July 4th Special,"December 28, 2015",
July 4th Special Sked,"December 28, 2015",
Saturday,"December 28, 2015",
Saturday Holiday,"December 28, 2015",
Special(Saturday),"December 28, 2015",
Sunday,"December 28, 2015",
Sunday Holiday,"December 28, 2015",
Weekday,"December 28, 2015",448745.0
July 4th Special,"December 29, 2015",
July 4th Special Sked,"December 29, 2015",
Saturday,"December 29, 2015",
Saturday Holiday,"December 29, 2015",
Special(Saturday),"December 29, 2015",
Sunday,"December 29, 2015",
Sunday Holiday,"December 29, 2015",
Weekday,"December 29, 2015",484604.0
July 4th Special,"December 30, 2015",
July 4th Special Sked,"December 30, 2015",
Saturday,"December 30, 2015",
Saturday Holiday,"December 30, 2015",
Special(Saturday),"December 30, 2015",
Sunday,"December 30, 2015",
Sunday Holiday,"December 30, 2015",
Weekday,"December 30, 2015",488676.0
July 4th Special,"December 31, 2015",
July 4th Special Sked,"December 31, 2015",
Saturday,"December 31, 2015",
Saturday Holiday,"December 31, 2015",
Special(Saturday),"December 31, 2015",
Sunday,"December 31, 2015",
Sunday Holiday,"December 31, 2015",
Weekday,"December 31, 2015",427688.0
July 4th Special,"January 1, 2016",
July 4th Special Sked,"January 1, 2016",
Saturday,"January 1, 2016",
Saturday Holiday,"January 1, 2016",
Special(Saturday),"January 1, 2016",
Sunday,"January 1, 2016",162547.0
Sunday Holiday,"January 1, 2016",
Weekday,"January 1, 2016",
July 4th Special,"January 4, 2016",
July 4th Special Sked,"January 4, 2016",
Saturday,"January 4, 2016",
Saturday Holiday,"January 4, 2016",
Special(Saturday),"January 4, 2016",
Sunday,"January 4, 2016",
Sunday Holiday,"January 4, 2016",
Weekday,"January 4, 2016",566597.0
July 4th Special,"January 5, 2016",
July 4th Special Sked,"January 5, 2016",
Saturday,"January 5, 2016",
Saturday Holiday,"January 5, 2016",
Special(Saturday),"January 5, 2016",
Sunday,"January 5, 2016",
Sunday Holiday,"January 5, 2016",
Weekday,"January 5, 2016",596538.0
July 4th Special,"January 6, 2016",
July 4th Special Sked,"January 6, 2016",
Saturday,"January 6, 2016",
Saturday Holiday,"January 6, 2016",
Special(Saturday),"January 6, 2016",
Sunday,"January 6, 2016",
Sunday Holiday,"January 6, 2016",
Weekday,"January 6, 2016",625423.0
July 4th Special,"January 7, 2016",
July 4th Special Sked,"January 7, 2016",
Saturday,"January 7, 2016",
Saturday Holiday,"January 7, 2016",
Special(Saturday),"January 7, 2016",
Sunday,"January 7, 2016",
Sunday Holiday,"January 7, 2016",
Weekday,"January 7, 2016",624391.0
July 4th Special,"January 8, 2016",
July 4th Special Sked,"January 8, 2016",
Saturday,"January 8, 2016",
Saturday Holiday,"January 8, 2016",
Special(Saturday),"January 8, 2016",
Sunday,"January 8, 2016",
Sunday Holiday,"January 8, 2016",
Weekday,"January 8, 2016",605793.0
July 4th Special,"January 11, 2016",
July 4th Special Sked,"January 11, 2016",
Saturday,"January 11, 2016",
Saturday Holiday,"January 11, 2016",
Special(Saturday),"January 11, 2016",
Sunday,"January 11, 2016",
Sunday Holiday,"January 11, 2016",
Weekday,"January 11, 2016",626655.0
July 4th Special,"January 12, 2016",
July 4th Special Sked,"January 12, 2016",
Saturday,"January 12, 2016",
Saturday Holiday,"January 12, 2016",
Special(Saturday),"January 12, 2016",
Sunday,"January 12, 2016",
Sunday Holiday,"January 12, 2016",
Weekday,"January 12, 2016",659154.0
July 4th Special,"January 13, 2016",
July 4th Special Sked,"January 13, 2016",
Saturday,"January 13, 2016",
Saturday Holiday,"January 13, 2016",
Special(Saturday),"January 13, 2016",
Sunday,"January 13, 2016",
Sunday Holiday,"January 13, 2016",
Weekday,"January 13, 2016",656344.0
July 4th Special,"January 14, 2016",
July 4th Special Sked,"January 14, 2016",
Saturday,"January 14, 2016",
Saturday Holiday,"January 14, 2016",
Special(Saturday),"January 14, 2016",
Sunday,"January 14, 2016",
Sunday Holiday,"January 14, 2016",
Weekday,"January 14, 2016",667197.0
July 4th Special,"January 15, 2016",
July 4th Special Sked,"January 15, 2016",
Saturday,"January 15, 2016",
Saturday Holiday,"January 15, 2016",
Special(Saturday),"January 15, 2016",
Sunday,"January 15, 2016",
Sunday Holiday,"January 15, 2016",
Weekday,"January 15, 2016",607497.0
July 4th Special,"January 18, 2016",
July 4th Special Sked,"January 18, 2016",
Saturday,"January 18, 2016",
Saturday Holiday,"January 18, 2016",209313.0
Special(Saturday),"January 18, 2016",
Sunday,"January 18, 2016",
Sunday Holiday,"January 18, 2016",
Weekday,"January 18, 2016",
July 4th Special,"January 19, 2016",
July 4th Special Sked,"January 19, 2016",
Saturday,"January 19, 2016",
Saturday Holiday,"January 19, 2016",
Special(Saturday),"January 19, 2016",
Sunday,"January 19, 2016",
Sunday Holiday,"January 19, 2016",
Weekday,"January 19, 2016",607154.0
July 4th Special,"January 20, 2016",
July 4th Special Sked,"January 20, 2016",
Saturday,"January 20, 2016",
Saturday Holiday,"January 20, 2016",
Special(Saturday),"January 20, 2016",
Sunday,"January 20, 2016",
Sunday Holiday,"January 20, 2016",
Weekday,"January 20, 2016",675345.0
July 4th Special,"January 21, 2016",
July 4th Special Sked,"January 21, 2016",
Saturday,"January 21, 2016",
Saturday Holiday,"January 21, 2016",
Special(Saturday),"January 21, 2016",
Sunday,"January 21, 2016",
Sunday Holiday,"January 21, 2016",
Weekday,"January 21, 2016",672653.0
July 4th Special,"January 22, 2016",
July 4th Special Sked,"January 22, 2016",
Saturday,"January 22, 2016",
Saturday Holiday,"January 22, 2016",
Special(Saturday),"January 22, 2016",
Sunday,"January 22, 2016",
Sunday Holiday,"January 22, 2016",
Weekday,"January 22, 2016",321281.0
July 4th Special,"January 25, 2016",
July 4th Special Sked,"January 25, 2016",
Saturday,"January 25, 2016",
Saturday Holiday,"January 25, 2016",
Special(Saturday),"January 25, 2016",
Sunday,"January 25, 2016",
Sunday Holiday,"January 25, 2016",
Weekday,"January 25, 2016",9424.0
July 4th Special,"January 26, 2016",
July 4th Special Sked,"January 26, 2016",
Saturday,"January 26, 2016",
Saturday Holiday,"January 26, 2016",
Special(Saturday),"January 26, 2016",
Sunday,"January 26, 2016",
Sunday Holiday,"January 26, 2016",
Weekday,"January 26, 2016",305732.0
July 4th Special,"January 27, 2016",
July 4th Special Sked,"January 27, 2016",
Saturday,"January 27, 2016",
Saturday Holiday,"January 27, 2016",
Special(Saturday),"January 27, 2016",
Sunday,"January 27, 2016",
Sunday Holiday,"January 27, 2016",
Weekday,"January 27, 2016",652988.0
July 4th Special,"January 28, 2016",
July 4th Special Sked,"January 28, 2016",
Saturday,"January 28, 2016",
Saturday Holiday,"January 28, 2016",
Special(Saturday),"January 28, 2016",
Sunday,"January 28, 2016",
Sunday Holiday,"January 28, 2016",
Weekday,"January 28, 2016",688232.0
July 4th Special,"January 29, 2016",
July 4th Special Sked,"January 29, 2016",
Saturday,"January 29, 2016",
Saturday Holiday,"January 29, 2016",
Special(Saturday),"January 29, 2016",
Sunday,"January 29, 2016",
Sunday Holiday,"January 29, 2016",
Weekday,"January 29, 2016",676419.0
July 4th Special,"February 1, 2016",
July 4th Special Sked,"February 1, 2016",
Saturday,"February 1, 2016",
Saturday Holiday,"February 1, 2016",
Special(Saturday),"February 1, 2016",
Sunday,"February 1, 2016",
Sunday Holiday,"February 1, 2016",
Weekday,"February 1, 2016",649776.0
July 4th Special,"February 2, 2016",
July 4th Special Sked,"February 2, 2016",
Saturday,"February 2, 2016",
Saturday Holiday,"February 2, 2016",
Special(Saturday),"February 2, 2016",
Sunday,"February 2, 2016",
Sunday Holiday,"February 2, 2016",
Weekday,"February 2, 2016",691102.0
July 4th Special,"February 3, 2016",
July 4th Special Sked,"February 3, 2016",
Saturday,"February 3, 2016",
Saturday Holiday,"February 3, 2016",
Special(Saturday),"February 3, 2016",
Sunday,"February 3, 2016",
Sunday Holiday,"February 3, 2016",
Weekday,"February 3, 2016",680020.0
July 4th Special,"February 4, 2016",
July 4th Special Sked,"February 4, 2016",
Saturday,"February 4, 2016",
Saturday Holiday,"February 4, 2016",
Special(Saturday),"February 4, 2016",
Sunday,"February 4, 2016",
Sunday Holiday,"February 4, 2016",
Weekday,"February 4, 2016",692572.0
July 4th Special,"February 5, 2016",
July 4th Special Sked,"February 5, 2016",
Saturday,"February 5, 2016",
Saturday Holiday,"February 5, 2016",
Special(Saturday),"February 5, 2016",
Sunday,"February 5, 2016",
Sunday Holiday,"February 5, 2016",
Weekday,"February 5, 2016",652872.0
July 4th Special,"February 8, 2016",
July 4th Special Sked,"February 8, 2016",
Saturday,"February 8, 2016",
Saturday Holiday,"February 8, 2016",
Special(Saturday),"February 8, 2016",
Sunday,"February 8, 2016",
Sunday Holiday,"February 8, 2016",
Weekday,"February 8, 2016",627770.0
July 4th Special,"February 9, 2016",
July 4th Special Sked,"February 9, 2016",
Saturday,"February 9, 2016",
Saturday Holiday,"February 9, 2016",
Special(Saturday),"February 9, 2016",
Sunday,"February 9, 2016",
Sunday Holiday,"February 9, 2016",
Weekday,"February 9, 2016",605879.0
July 4th Special,"February 10, 2016",
July 4th Special Sked,"February 10, 2016",
Saturday,"February 10, 2016",
Saturday Holiday,"February 10, 2016",
Special(Saturday),"February 10, 2016",
Sunday,"February 10, 2016",
Sunday Holiday,"February 10, 2016",
Weekday,"February 10, 2016",671960.0
July 4th Special,"February 11, 2016",
July 4th Special Sked,"February 11, 2016",
Saturday,"February 11, 2016",
Saturday Holiday,"February 11, 2016",
Special(Saturday),"February 11, 2016",
Sunday,"February 11, 2016",
Sunday Holiday,"February 11, 2016",
Weekday,"February 11, 2016",664823.0
July 4th Special,"February 12, 2016",
July 4th Special Sked,"February 12, 2016",
Saturday,"February 12, 2016",
Saturday Holiday,"February 12, 2016",
Special(Saturday),"February 12, 2016",
Sunday,"February 12, 2016",
Sunday Holiday,"February 12, 2016",
Weekday,"February 12, 2016",615344.0
July 4th Special,"February 15, 2016",
July 4th Special Sked,"February 15, 2016",
Saturday,"February 15, 2016",
Saturday Holiday,"February 15, 2016",193487.0
Special(Saturday),"February 15, 2016",
Sunday,"February 15, 2016",
Sunday Holiday,"February 15, 2016",
Weekday,"February 15, 2016",
July 4th Special,"February 16, 2016",
July 4th Special Sked,"February 16, 2016",
Saturday,"February 16, 2016",
Saturday Holiday,"February 16, 2016",
Special(Saturday),"February 16, 2016",
Sunday,"February 16, 2016",
Sunday Holiday,"February 16, 2016",
Weekday,"February 16, 2016",546761.0
July 4th Special,"February 17, 2016",
July 4th Special Sked,"February 17, 2016",
Saturday,"February 17, 2016",
Saturday Holiday,"February 17, 2016",
