Service Type,Year,Value
Sunday,"January 27, 2012",
Sunday Holiday,"January 27, 2012",
Weekday,"January 27, 2012",702107.0
July 4th Special,"January 30, 2012",
July 4th Special Sked,"January 30, 2012",
Saturday,"January 30, 2012",
Saturday Holiday,"January 30, 2012",
Special(Saturday),"January 30, 2012",
Sunday,"January 30, 2012",
Sunday Holiday,"January 30, 2012",
Weekday,"January 30, 2012",687042.0
July 4th Special,"January 31, 2012",
July 4th Special Sked,"January 31, 2012",
Saturday,"January 31, 2012",
Saturday Holiday,"January 31, 2012",
Special(Saturday),"January 31, 2012",
Sunday,"January 31, 2012",
Sunday Holiday,"January 31, 2012",
Weekday,"January 31, 2012",717214.0
July 4th Special,"February 1, 2012",
July 4th Special Sked,"February 1, 2012",
Saturday,"February 1, 2012",
Saturday Holiday,"February 1, 2012",
Special(Saturday),"February 1, 2012",
Sunday,"February 1, 2012",
Sunday Holiday,"February 1, 2012",
Weekday,"February 1, 2012",735529.0
July 4th Special,"February 2, 2012",
July 4th Special Sked,"February 2, 2012",
Saturday,"February 2, 2012",
Saturday Holiday,"February 2, 2012",
Special(Saturday),"February 2, 2012",
Sunday,"February 2, 2012",
Sunday Holiday,"February 2, 2012",
Weekday,"February 2, 2012",728077.0
July 4th Special,"February 3, 2012",
July 4th Special Sked,"February 3, 2012",
Saturday,"February 3, 2012",
Saturday Holiday,"February 3, 2012",
Special(Saturday),"February 3, 2012",
Sunday,"February 3, 2012",
Sunday Holiday,"February 3, 2012",
Weekday,"February 3, 2012",716122.0
July 4th Special,"February 6, 2012",
July 4th Special Sked,"February 6, 2012",
Saturday,"February 6, 2012",
Saturday Holiday,"February 6, 2012",
Special(Saturday),"February 6, 2012",
Sunday,"February 6, 2012",
Sunday Holiday,"February 6, 2012",
Weekday,"February 6, 2012",670095.0
July 4th Special,"February 7, 2012",
July 4th Special Sked,"February 7, 2012",
Saturday,"February 7, 2012",
Saturday Holiday,"February 7, 2012",
Special(Saturday),"February 7, 2012",
Sunday,"February 7, 2012",
Sunday Holiday,"February 7, 2012",
Weekday,"February 7, 2012",734011.0
July 4th Special,"February 8, 2012",
July 4th Special Sked,"February 8, 2012",
Saturday,"February 8, 2012",
Saturday Holiday,"February 8, 2012",
Special(Saturday),"February 8, 2012",
Sunday,"February 8, 2012",
Sunday Holiday,"February 8, 2012",
Weekday,"February 8, 2012",742319.0
July 4th Special,"February 9, 2012",
July 4th Special Sked,"February 9, 2012",
Saturday,"February 9, 2012",
Saturday Holiday,"February 9, 2012",
Special(Saturday),"February 9, 2012",
Sunday,"February 9, 2012",
Sunday Holiday,"February 9, 2012",
Weekday,"February 9, 2012",750282.0
July 4th Special,"February 10, 2012",
July 4th Special Sked,"February 10, 2012",
Saturday,"February 10, 2012",
Saturday Holiday,"February 10, 2012",
Special(Saturday),"February 10, 2012",
Sunday,"February 10, 2012",
Sunday Holiday,"February 10, 2012",
Weekday,"February 10, 2012",734379.0
July 4th Special,"February 13, 2012",
July 4th Special Sked,"February 13, 2012",
Saturday,"February 13, 2012",
Saturday Holiday,"February 13, 2012",
Special(Saturday),"February 13, 2012",
Sunday,"February 13, 2012",
Sunday Holiday,"February 13, 2012",
Weekday,"February 13, 2012",696710.0
July 4th Special,"February 14, 2012",
July 4th Special Sked,"February 14, 2012",
Saturday,"February 14, 2012",
Saturday Holiday,"February 14, 2012",
Special(Saturday),"February 14, 2012",
Sunday,"February 14, 2012",
Sunday Holiday,"February 14, 2012",
Weekday,"February 14, 2012",726173.0
July 4th Special,"February 15, 2012",
July 4th Special Sked,"February 15, 2012",
Saturday,"February 15, 2012",
Saturday Holiday,"February 15, 2012",
Special(Saturday),"February 15, 2012",
Sunday,"February 15, 2012",
Sunday Holiday,"February 15, 2012",
Weekday,"February 15, 2012",728789.0
July 4th Special,"February 16, 2012",
July 4th Special Sked,"February 16, 2012",
Saturday,"February 16, 2012",
Saturday Holiday,"February 16, 2012",
Special(Saturday),"February 16, 2012",
Sunday,"February 16, 2012",
Sunday Holiday,"February 16, 2012",
Weekday,"February 16, 2012",715581.0
July 4th Special,"February 17, 2012",
July 4th Special Sked,"February 17, 2012",
Saturday,"February 17, 2012",
Saturday Holiday,"February 17, 2012",
Special(Saturday),"February 17, 2012",
Sunday,"February 17, 2012",
Sunday Holiday,"February 17, 2012",
Weekday,"February 17, 2012",699373.0
July 4th Special,"February 20, 2012",
July 4th Special Sked,"February 20, 2012",
Saturday,"February 20, 2012",
Saturday Holiday,"February 20, 2012",
Special(Saturday),"February 20, 2012",279057.0
Sunday,"February 20, 2012",
Sunday Holiday,"February 20, 2012",
Weekday,"February 20, 2012",
July 4th Special,"February 21, 2012",
July 4th Special Sked,"February 21, 2012",
Saturday,"February 21, 2012",
Saturday Holiday,"February 21, 2012",
Special(Saturday),"February 21, 2012",
Sunday,"February 21, 2012",
Sunday Holiday,"February 21, 2012",
Weekday,"February 21, 2012",705221.0
July 4th Special,"February 22, 2012",
July 4th Special Sked,"February 22, 2012",
Saturday,"February 22, 2012",
Saturday Holiday,"February 22, 2012",
Special(Saturday),"February 22, 2012",
Sunday,"February 22, 2012",
Sunday Holiday,"February 22, 2012",
Weekday,"February 22, 2012",734067.0
July 4th Special,"February 23, 2012",
July 4th Special Sked,"February 23, 2012",
Saturday,"February 23, 2012",
Saturday Holiday,"February 23, 2012",
Special(Saturday),"February 23, 2012",
Sunday,"February 23, 2012",
Sunday Holiday,"February 23, 2012",
Weekday,"February 23, 2012",746264.0
July 4th Special,"February 24, 2012",
July 4th Special Sked,"February 24, 2012",
Saturday,"February 24, 2012",
Saturday Holiday,"February 24, 2012",
Special(Saturday),"February 24, 2012",
Sunday,"February 24, 2012",
Sunday Holiday,"February 24, 2012",
Weekday,"February 24, 2012",724051.0
July 4th Special,"February 27, 2012",
July 4th Special Sked,"February 27, 2012",
Saturday,"February 27, 2012",
Saturday Holiday,"February 27, 2012",
Special(Saturday),"February 27, 2012",
Sunday,"February 27, 2012",
Sunday Holiday,"February 27, 2012",
Weekday,"February 27, 2012",687869.0
July 4th Special,"February 28, 2012",
July 4th Special Sked,"February 28, 2012",
Saturday,"February 28, 2012",
Saturday Holiday,"February 28, 2012",
Special(Saturday),"February 28, 2012",
Sunday,"February 28, 2012",
Sunday Holiday,"February 28, 2012",
Weekday,"February 28, 2012",737219.0
July 4th Special,"February 29, 2012",
July 4th Special Sked,"February 29, 2012",
Saturday,"February 29, 2012",
Saturday Holiday,"February 29, 2012",
Special(Saturday),"February 29, 2012",
Sunday,"February 29, 2012",
Sunday Holiday,"February 29, 2012",
Weekday,"February 29, 2012",719972.0
July 4th Special,"March 1, 2012",
July 4th Special Sked,"March 1, 2012",
Saturday,"March 1, 2012",
Saturday Holiday,"March 1, 2012",
Special(Saturday),"March 1, 2012",
Sunday,"March 1, 2012",
Sunday Holiday,"March 1, 2012",
Weekday,"March 1, 2012",742943.0
July 4th Special,"March 2, 2012",
July 4th Special Sked,"March 2, 2012",
Saturday,"March 2, 2012",
Saturday Holiday,"March 2, 2012",
Special(Saturday),"March 2, 2012",
Sunday,"March 2, 2012",
Sunday Holiday,"March 2, 2012",
Weekday,"March 2, 2012",725838.0
July 4th Special,"March 5, 2012",
July 4th Special Sked,"March 5, 2012",
Saturday,"March 5, 2012",
Saturday Holiday,"March 5, 2012",
Special(Saturday),"March 5, 2012",
Sunday,"March 5, 2012",
Sunday Holiday,"March 5, 2012",
Weekday,"March 5, 2012",697800.0
July 4th Special,"March 6, 2012",
July 4th Special Sked,"March 6, 2012",
Saturday,"March 6, 2012",
Saturday Holiday,"March 6, 2012",
Special(Saturday),"March 6, 2012",
Sunday,"March 6, 2012",
Sunday Holiday,"March 6, 2012",
Weekday,"March 6, 2012",747516.0
July 4th Special,"March 7, 2012",
July 4th Special Sked,"March 7, 2012",
Saturday,"March 7, 2012",
Saturday Holiday,"March 7, 2012",
Special(Saturday),"March 7, 2012",
Sunday,"March 7, 2012",
Sunday Holiday,"March 7, 2012",
Weekday,"March 7, 2012",755105.0
July 4th Special,"March 8, 2012",
July 4th Special Sked,"March 8, 2012",
Saturday,"March 8, 2012",
Saturday Holiday,"March 8, 2012",
Special(Saturday),"March 8, 2012",
Sunday,"March 8, 2012",
Sunday Holiday,"March 8, 2012",
Weekday,"March 8, 2012",763457.0
July 4th Special,"March 9, 2012",
July 4th Special Sked,"March 9, 2012",
Saturday,"March 9, 2012",
Saturday Holiday,"March 9, 2012",
Special(Saturday),"March 9, 2012",
Sunday,"March 9, 2012",
Sunday Holiday,"March 9, 2012",
Weekday,"March 9, 2012",733354.0
July 4th Special,"March 12, 2012",
July 4th Special Sked,"March 12, 2012",
Saturday,"March 12, 2012",
Saturday Holiday,"March 12, 2012",
Special(Saturday),"March 12, 2012",
Sunday,"March 12, 2012",
Sunday Holiday,"March 12, 2012",
Weekday,"March 12, 2012",704809.0
July 4th Special,"March 13, 2012",
July 4th Special Sked,"March 13, 2012",
Saturday,"March 13, 2012",
Saturday Holiday,"March 13, 2012",
Special(Saturday),"March 13, 2012",
Sunday,"March 13, 2012",
Sunday Holiday,"March 13, 2012",
Weekday,"March 13, 2012",761179.0
July 4th Special,"March 14, 2012",
July 4th Special Sked,"March 14, 2012",
Saturday,"March 14, 2012",
Saturday Holiday,"March 14, 2012",
Special(Saturday),"March 14, 2012",
Sunday,"March 14, 2012",
Sunday Holiday,"March 14, 2012",
Weekday,"March 14, 2012",778127.0
July 4th Special,"March 15, 2012",
July 4th Special Sked,"March 15, 2012",
Saturday,"March 15, 2012",
Saturday Holiday,"March 15, 2012",
Special(Saturday),"March 15, 2012",
Sunday,"March 15, 2012",
Sunday Holiday,"March 15, 2012",
Weekday,"March 15, 2012",784162.0
July 4th Special,"March 16, 2012",
July 4th Special Sked,"March 16, 2012",
Saturday,"March 16, 2012",
